notification_date,lga_name19,confirmed_cases_count
2020-03-24,Federation (A),2
2020-03-24,Georges River (A),2
2020-03-24,Goulburn Mulwaree (A),1
2020-03-24,Griffith (C),1
2020-03-24,Hawkesbury (C),5
2020-03-24,Hornsby (A),7
2020-03-24,Hunters Hill (A),1
2020-03-24,Ku-ring-gai (A),5
2020-03-24,Lake Macquarie (C),5
2020-03-24,Lane Cove (A),3
2020-03-24,Liverpool (C),2
2020-03-24,Maitland (C),3
2020-03-24,Mid-Coast (A),6
2020-03-24,Mosman (A),4
2020-03-24,Newcastle (C),4
2020-03-24,North Sydney (A),3
2020-03-24,Northern Beaches (A),11
2020-03-24,Penrith (C),10
2020-03-24,Port Macquarie-Hastings (A),3
2020-03-24,Port Stephens (A),4
2020-03-24,Queanbeyan-Palerang Regional (A),1
2020-03-24,Randwick (C),7
2020-03-24,Ryde (C),5
2020-03-24,Shoalhaven (C),2
2020-03-24,Singleton (A),1
2020-03-24,Strathfield (A),1
2020-03-24,Sutherland Shire (A),2
2020-03-24,Sydney (C),13
2020-03-24,Tamworth Regional (A),4
2020-03-24,The Hills Shire (A),4
2020-03-24,Wagga Wagga (C),2
2020-03-24,Waverley (A),13
2020-03-24,Willoughby (C),2
2020-03-24,Wingecarribee (A),1
2020-03-24,Wollongong (C),3
2020-03-24,Woollahra (A),4
2020-03-25,Albury (C),2
2020-03-25,Ballina (A),1
2020-03-25,Bayside (A),4
2020-03-25,Bega Valley (A),1
2020-03-25,Blacktown (C),8
2020-03-25,Blue Mountains (C),3
2020-03-25,Byron (A),1
2020-03-25,Camden (A),1
2020-03-25,Campbelltown (C) (NSW),4
2020-03-25,Canada Bay (A),3
2020-03-25,Canterbury-Bankstown (A),9
2020-03-25,Central Coast (C) (NSW),11
2020-03-25,Cessnock (C),4
2020-03-25,Coffs Harbour (C),2
2020-03-25,Cumberland (A),1
2020-03-25,Dubbo Regional (A),3
2020-03-25,Eurobodalla (A),1
2020-03-25,Fairfield (C),1
2020-03-25,Georges River (A),1
2020-03-25,Glen Innes Severn (A),2
2020-03-25,Goulburn Mulwaree (A),1
2020-03-25,Greater Hume Shire (A),2
2020-03-25,Hawkesbury (C),2
2020-03-25,Hornsby (A),3
2020-03-25,Hunters Hill (A),2
2020-03-25,Inner West (A),7
2020-03-25,Inverell (A),1
2020-03-25,Ku-ring-gai (A),3
2020-03-25,Lake Macquarie (C),6
2020-03-25,Lane Cove (A),2
2020-03-25,Lismore (C),1
2020-03-25,Liverpool (C),2
2020-03-25,Maitland (C),3
2020-03-25,Mid-Coast (A),5
2020-03-25,Mid-Western Regional (A),1
2020-03-25,Mosman (A),2
2020-03-25,Narromine (A),1
2020-03-25,Newcastle (C),6
2020-03-25,North Sydney (A),5
2020-03-25,Northern Beaches (A),11
2020-03-25,Parramatta (C),3
2020-03-25,Penrith (C),4
2020-03-25,Port Stephens (A),3
2020-03-25,Randwick (C),5
2020-03-25,Ryde (C),3
2020-03-25,Shellharbour (C),5
2020-03-25,Shoalhaven (C),1
2020-03-25,Snowy Monaro Regional (A),1
2020-03-25,Strathfield (A),1
2020-03-25,Sutherland Shire (A),5
2020-03-25,Sydney (C),8
2020-03-25,Tamworth Regional (A),1
2020-03-25,The Hills Shire (A),3
2020-03-25,Upper Hunter Shire (A),1
2020-03-25,Wagga Wagga (C),1
2020-03-25,Waverley (A),10
2020-03-25,Weddin (A),1
2020-03-25,Willoughby (C),1
2020-03-25,Wingecarribee (A),1
2020-03-25,Wollondilly (A),1
2020-03-25,Wollongong (C),5
2020-03-25,Woollahra (A),10
2020-03-26,Albury (C),2
2020-03-26,Bathurst Regional (A),1
2020-03-26,Bega Valley (A),2
2020-03-26,Blacktown (C),6
2020-03-26,Blue Mountains (C),2
2020-03-26,Burwood (A),1
2020-03-26,Byron (A),1
2020-03-26,Camden (A),6
2020-03-26,Campbelltown (C) (NSW),4
2020-03-26,Canada Bay (A),2
2020-03-26,Canterbury-Bankstown (A),8
2020-03-26,Central Coast (C) (NSW),11
2020-03-26,Cessnock (C),1
2020-03-26,Coffs Harbour (C),2
2020-03-26,Cumberland (A),3
2020-03-26,Fairfield (C),3
2020-03-26,Federation (A),2
2020-03-26,Georges River (A),2
2020-03-26,Goulburn Mulwaree (A),1
2020-03-26,Griffith (C),2
2020-03-26,Hawkesbury (C),2
2020-03-26,Hornsby (A),2
2020-03-26,Hunters Hill (A),2
2020-03-26,Inner West (A),5
2020-03-26,Ku-ring-gai (A),2
2020-03-26,Lake Macquarie (C),2
2020-03-26,Lane Cove (A),1
2020-03-26,Liverpool (C),4
2020-03-26,Maitland (C),4
2020-03-26,Mid-Coast (A),3
2020-03-26,Mosman (A),2
2020-03-26,Muswellbrook (A),1
2020-03-26,Newcastle (C),3
2020-03-26,North Sydney (A),1
2020-03-26,Northern Beaches (A),12
2020-03-26,Parramatta (C),1
2020-03-26,Penrith (C),3
2020-03-26,Port Macquarie-Hastings (A),2
2020-03-26,Port Stephens (A),3
2020-03-26,Queanbeyan-Palerang Regional (A),2
2020-03-26,Randwick (C),5
2020-03-26,Ryde (C),3
2020-03-26,Snowy Monaro Regional (A),4
2020-03-26,Sutherland Shire (A),6
2020-03-26,Sydney (C),10
2020-03-26,Tamworth Regional (A),1
2020-03-26,The Hills Shire (A),1
2020-03-26,Tweed (A),3
2020-03-26,Wagga Wagga (C),1
2020-03-26,Warren (A),1
2020-03-26,Waverley (A),17
2020-03-26,Willoughby (C),1
2020-03-26,Wollondilly (A),1
2020-03-26,Wollongong (C),4
2020-03-26,Woollahra (A),2
2020-03-26,Yass Valley (A),2
2020-03-27,Bayside (A),3
2020-03-27,Bega Valley (A),1
2020-03-27,Blacktown (C),7
2020-03-27,Blue Mountains (C),1
2020-03-27,Cabonne (A),1
2020-03-27,Camden (A),4
2020-03-27,Campbelltown (C) (NSW),3
2020-03-27,Canada Bay (A),2
2020-03-27,Canterbury-Bankstown (A),4
2020-03-27,Central Coast (C) (NSW),15
2020-03-27,Cessnock (C),1
2020-03-27,Clarence Valley (A),3
2020-03-27,Cumberland (A),6
2020-03-27,Eurobodalla (A),2
2020-03-27,Federation (A),2
2020-03-27,Georges River (A),10
2020-03-27,Hawkesbury (C),3
2020-03-27,Hornsby (A),7
2020-03-27,Inner West (A),7
2020-03-27,Kempsey (A),1
2020-03-27,Ku-ring-gai (A),8
2020-03-27,Lake Macquarie (C),3
2020-03-27,Lane Cove (A),2
2020-03-27,Lismore (C),2
2020-03-27,Liverpool (C),7
2020-03-27,Maitland (C),2
2020-03-27,Mid-Coast (A),5
2020-03-27,Mosman (A),1
2020-03-27,Murrumbidgee (A),2
2020-03-27,Newcastle (C),2
2020-03-27,North Sydney (A),10
2020-03-27,Northern Beaches (A),8
2020-03-27,Orange (C),2
2020-03-27,Parramatta (C),1
2020-03-27,Penrith (C),6
2020-03-27,Port Macquarie-Hastings (A),3
2020-03-27,Port Stephens (A),2
2020-03-27,Queanbeyan-Palerang Regional (A),1
2020-03-27,Randwick (C),6
2020-03-27,Ryde (C),5
2020-03-27,Shellharbour (C),3
2020-03-27,Shoalhaven (C),6
2020-03-27,Sutherland Shire (A),2
2020-03-27,Sydney (C),9
2020-03-27,Tamworth Regional (A),1
2020-03-27,Tenterfield (A),1
