LGA,Total cases,Date
Tatiara (DC),4,2021-12-29
Tatiara (DC),4,2021-12-28
Tatiara (DC),4,2021-12-27
Tatiara (DC),4,2021-12-26
Tatiara (DC),3,2021-12-25
Tatiara (DC),3,2021-12-24
Tatiara (DC),3,2021-12-23
Tatiara (DC),1,2021-12-22
Tatiara (DC),1,2021-12-21
Tatiara (DC),1,2021-12-20
Tumby Bay (DC),8,2022-01-06
Tumby Bay (DC),2,2022-01-05
Tumby Bay (DC),2,2022-01-04
Tumby Bay (DC),1,2022-01-03
Tumby Bay (DC),1,2022-01-02
Tumby Bay (DC),1,2022-01-01
Tumby Bay (DC),1,2021-12-31
Tumby Bay (DC),0,2021-12-30
Tumby Bay (DC),0,2021-12-29
Tumby Bay (DC),0,2021-12-28
Tumby Bay (DC),0,2021-12-27
Tumby Bay (DC),0,2021-12-26
Tumby Bay (DC),0,2021-12-25
Tumby Bay (DC),0,2021-12-24
Tumby Bay (DC),0,2021-12-23
Tumby Bay (DC),0,2021-12-22
Tumby Bay (DC),0,2021-12-21
Tumby Bay (DC),0,2021-12-20
Clare and Gilbert Valleys (DC),79,2022-01-06
Clare and Gilbert Valleys (DC),74,2022-01-05
Clare and Gilbert Valleys (DC),60,2022-01-04
Clare and Gilbert Valleys (DC),36,2022-01-03
Clare and Gilbert Valleys (DC),35,2022-01-02
Clare and Gilbert Valleys (DC),31,2022-01-01
Clare and Gilbert Valleys (DC),26,2021-12-31
Clare and Gilbert Valleys (DC),23,2021-12-30
Clare and Gilbert Valleys (DC),18,2021-12-29
Clare and Gilbert Valleys (DC),13,2021-12-28
Clare and Gilbert Valleys (DC),11,2021-12-27
Clare and Gilbert Valleys (DC),10,2021-12-26
Clare and Gilbert Valleys (DC),10,2021-12-25
