Date,Total cases,LGA
2021-12-22,0.0,Mapoon (S)
2021-12-21,0.0,Mapoon (S)
2021-12-20,0.0,Mapoon (S)
2021-12-23,0.0,Mornington (S)
2021-12-22,0.0,Mornington (S)
2021-12-21,0.0,Mornington (S)
2021-12-20,0.0,Mornington (S)
2021-12-23,0.0,Napranum (S)
2021-12-22,0.0,Napranum (S)
2021-12-21,0.0,Napranum (S)
2021-12-20,0.0,Napranum (S)
2021-12-23,0.0,Pormpuraaw (S)
2021-12-22,0.0,Pormpuraaw (S)
2021-12-21,0.0,Pormpuraaw (S)
2021-12-20,0.0,Pormpuraaw (S)
2021-12-23,0.0,Richmond (S)
2021-12-22,0.0,Richmond (S)
2021-12-21,0.0,Richmond (S)
2021-12-20,0.0,Richmond (S)
2021-12-23,0.0,Torres Strait Island (R)
2021-12-22,0.0,Torres Strait Island (R)
2021-12-21,0.0,Torres Strait Island (R)
2021-12-20,0.0,Torres Strait Island (R)
2021-12-23,0.0,Weipa (T)
2021-12-22,0.0,Weipa (T)
2021-12-21,0.0,Weipa (T)
2021-12-20,0.0,Weipa (T)
2021-12-23,0.0,Winton (S)
2021-12-22,0.0,Winton (S)
2021-12-21,0.0,Winton (S)
2021-12-20,0.0,Winton (S)
2021-12-23,0.0,Wujal Wujal (S)
2021-12-22,0.0,Wujal Wujal (S)
2021-12-21,0.0,Wujal Wujal (S)
2021-12-20,0.0,Wujal Wujal (S)
2021-12-23,0.0,Yarrabah (S)
2021-12-22,0.0,Yarrabah (S)
2021-12-21,0.0,Yarrabah (S)
2021-12-20,0.0,Yarrabah (S)
